  x y
 1.47887 -0.080294
 1.30278 -0.0190885
 1.1267 0.0421169
 0.946923 0.0914494
 0.763247 0.123317
 0.57924 0.153208
 0.393884 0.173093
 0.208529 0.192979
 0.0221259 0.190496
 -0.16414 0.182932
 -0.349862 0.166824
 -0.534862 0.14386
 -0.716936 0.103844
 -0.899519 0.0662238
 -1.08094 0.0233393
 -1.26423 -0.0106595
 -1.12644 -0.13622
 -0.94015 -0.143083
 -0.753732 -0.142511
 -0.567315 -0.141597
 -0.380897 -0.140681
 -0.194711 -0.131373
 -0.00829262 -0.130661
 0.178121 -0.132177
 0.364534 -0.133709
 0.550909 -0.13775
 0.737279 -0.142034
 0.923697 -0.14277
 1.10991 -0.133933
 1.29439 -0.107114
